15, 3, 10, 26, 27, 19, 17, 22, 30, 37, 11, 25, 14, 4, 12, 5, 12, 16, 4
12, 3, 11, 26, 27, 19, 17, 17, 31, 38, 11, 25, 10, 5, 12, 2, 11, 15, 3
12, 3, 11, 26, 27, 19, 17, 17, 31, 37, 11, 25, 13, 4, 12, 2, 11, 14, 3
12, 3, 10, 26, 27, 19, 18, 17, 31, 38, 11, 25, 11, 4, 12, 2, 11, 15, 2
12, 3, 10, 26, 27, 19, 17, 17, 30, 37, 11, 25, 11, 5, 12, 2, 11, 15, 3
12, 3, 10, 26, 27, 19, 17, 17, 31, 38, 11, 25, 10, 5, 12, 2, 11, 15, 3
12, 3, 11, 26, 27, 19, 17, 17, 30, 37, 11, 25, 10, 5, 13, 2, 11, 14, 2
12, 3, 11, 26, 27, 19, 17, 17, 30, 37, 11, 25, 10, 5, 12, 2, 11, 14, 2
12, 3, 11, 26, 27, 19, 18, 17, 31, 38, 12, 25, 10, 5, 12, 2, 11, 14, 3
12, 3, 11, 26, 27, 19, 17, 17, 31, 37, 12, 25, 10, 5, 12, 2, 11, 14, 2
